experiment_id,model,task,example_id,prediction,ground_truth,is_correct,latency_ms,timestamp
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,0,"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    numbers.sort()
    for i in range(len(numbers) - 1):
        if numbers[i + 1] - numbers[i] < threshold:
            return True
    return False","    for idx, elem in enumerate(numbers):
        for idx2, elem2 in enumerate(numbers):
            if idx != idx2:
                distance = abs(elem - elem2)
                if distance < threshold:
                    return True

    return False
",True,11986.017,2026-02-06T21:10:54.066575
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,1,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    result = []
    balance = 0
    current_group = ''
    
    for char in paren_string.replace("" "", """"):
        current_group += char
        if char == '(':
            balance += 1
        elif char == ')':
            balance -= 1
        
        if balance == 0 and current_group:
            result.append(current_group)
            current_group = ''
    
    return result","    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result
",True,8146.157999999999,2026-02-06T21:11:02.212753
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,2,"```python
def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    """"""
    return number % 1

# Test cases
assert truncate_number(3.5) == 0.5
assert truncate_number(4.75) == 0.75
```","    return number % 1.0
",True,10381.057,2026-02-06T21:11:12.593829
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,3,"from typing import List


def below_zero(operations: List[int]) -> bool:
    balance = 0
    for op in operations:
        balance += op
        if balance < 0:
            return True
    return False","    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False
",True,5220.898,2026-02-06T21:11:17.814752
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,4,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
    # Calculate the mean of the numbers
    mean_value = sum(numbers) / len(numbers)
    
    # Compute the absolute differences from the mean
    abs_diffs = [abs(x - mean_value) for x in numbers]
    
    # Calculate the average of these absolute differences
    mad = sum(abs_diffs) / len(numbers)
    
    return mad","    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
",True,12644.687,2026-02-06T21:11:30.459464
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,5,"from typing import List


def intersperse(numbers: List[int], delimiter: int) -> List[int]:
    result = []
    for i, num in enumerate(numbers):
        result.append(num)
        if i < len(numbers) - 1:
            result.append(delimiter)
    return result","    if not numbers:
        return []

    result = []

    for n in numbers[:-1]:
        result.append(n)
        result.append(delimeter)

    result.append(numbers[-1])

    return result
",True,4893.518,2026-02-06T21:11:35.353027
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,6,"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    # Split the input string into individual groups
    groups = paren_string.split()
    result = []

    for group in groups:
        max_depth = 0
        current_depth = 0

        for char in group:
            if char == '(':
                current_depth += 1
                max_depth = max(max_depth, current_depth)
            elif char == ')':
                current_depth -= 1

        result.append(max_depth)

    return result","    def parse_paren_group(s):
        depth = 0
        max_depth = 0
        for c in s:
            if c == '(':
                depth += 1
                max_depth = max(depth, max_depth)
            else:
                depth -= 1

        return max_depth

    return [parse_paren_group(x) for x in paren_string.split(' ') if x]
",True,7987.426,2026-02-06T21:11:43.340475
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,7,"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
    return [s for s in strings if substring in s]","    return [x for x in strings if substring in x]
",True,6390.634999999999,2026-02-06T21:11:49.731149
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,8,"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
    total_sum = 0
    total_product = 1

    for number in numbers:
        total_sum += number
        total_product *= number

    return total_sum, total_product","    sum_value = 0
    prod_value = 1

    for n in numbers:
        sum_value += n
        prod_value *= n
    return sum_value, prod_value
",True,9793.557,2026-02-06T21:11:59.524734
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,9,"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    max_so_far = numbers[0]
    rolling_max_list = [max_so_far]

    for number in numbers[1:]:
        if number > max_so_far:
            max_so_far = number
        rolling_max_list.append(max_so_far)

    return rolling_max_list","    running_max = None
    result = []

    for n in numbers:
        if running_max is None:
            running_max = n
        else:
            running_max = max(running_max, n)

        result.append(running_max)

    return result
",False,6325.467,2026-02-06T21:12:05.850224
qwen2.5:7b_local_baseline_code,qwen2.5:7b,code,10,"def make_palindrome(string: str) -> str:
    if not string:
        return ''
    
    for i in range(len(string)):
        # Check if the substring from 0 to (len(string) - i) is a palindrome
        if string[i:] == string[i:][::-1]:
            # The longest palindromic suffix found, now append the reverse of prefix to it
            return string + string[:i][::-1]
    
    # If no proper palindromic suffix was found (which theoretically shouldn't happen), just return the original reversed plus itself.
    return string + string[::-1]","    if not string:
        return ''

    beginning_of_suffix = 0

    while not is_palindrome(string[beginning_of_suffix:]):
        beginning_of_suffix += 1

    return string + string[:beginning_of_suffix][::-1]
",True,11251.296,2026-02-06T21:12:17.101567
